id,ACTION
1,0.926929
2,0.979427
3,0.996673
4,0.995793
5,0.999295
6,0.997136
7,0.959606
8,0.999902
9,0.925451
10,0.972730
11,0.974701
12,0.978139
13,0.992159
14,0.802856
15,0.947063
16,0.959341
17,0.614315
18,0.813994
19,0.997897
20,0.996345
21,0.999197
22,0.993537
23,0.976574
24,0.980613
25,0.995026
26,0.943271
27,0.993310
28,0.985760
29,0.983185
30,0.916932
31,0.993177
32,0.983508
33,0.992668
34,0.995112
35,0.992065
36,0.986730
37,0.991893
38,0.999771
39,0.991007
40,0.965895
41,0.951404
42,0.992366
43,0.990578
44,0.994845
45,0.995444
46,0.987449
47,0.999097
48,0.984440
49,0.999942
50,0.998308
51,0.987768
52,0.994570
53,0.987178
54,0.997811
55,0.980485
56,0.993127
57,0.988901
58,0.999316
59,0.993824
60,0.991424
61,0.996158
62,0.998206
63,0.984945
64,0.997781
65,0.998668
66,0.991484
67,0.990544
68,0.999017
69,0.990327
70,0.727766
71,0.985262
72,0.988883
73,0.996606
74,0.998303
75,0.989835
76,0.998843
77,0.998053
78,0.967117
79,0.696199
80,0.998740
81,0.999575
82,0.996242
83,0.966894
84,0.996384
85,0.990465
86,0.959785
87,0.980211
88,0.998138
89,0.995278
90,0.858347
91,0.991992
92,0.793410
93,0.997594
94,0.987373
95,0.991418
96,0.998510
97,0.464045
98,0.998276
99,0.994026
100,0.997770
101,0.978635
102,0.347040
103,0.996280
104,0.989350
105,0.473346
106,0.996322
107,0.999185
108,0.977503
109,0.990697
110,0.983348
111,0.843646
112,0.978893
113,0.984222
114,0.999097
115,0.978435
116,0.973339
117,0.990180
118,0.955610
119,0.999268
120,0.988513
121,0.952281
122,0.990654
123,0.897613
124,0.997685
125,0.990718
126,0.839556
127,0.794795
128,0.954314
129,0.935218
130,0.995153
131,0.997495
132,0.998084
133,0.992278
134,0.909606
135,0.998915
136,0.965129
137,0.997346
138,0.936213
139,0.959876
140,0.998988
141,0.998418
142,0.971463
143,0.995212
144,0.995205
145,0.999579
146,0.704526
147,0.780901
148,0.820582
149,0.999206
150,0.987494
151,0.998334
152,0.856508
153,0.994964
154,0.960160
155,0.976131
156,0.968011
157,0.992725
158,0.992468
159,0.976611
160,0.971740
161,0.955871
162,0.996852
163,0.998571
164,0.977982
165,0.990790
166,0.999667
167,0.975638
168,0.992100
169,0.989220
170,0.996300
171,0.997585
172,0.993255
173,0.963480
174,0.995362
175,0.989987
176,0.999358
177,0.960302
178,0.995505
179,0.999495
180,0.925751
181,0.676816
182,0.987696
183,0.943769
184,0.918169
185,0.991141
186,0.973935
187,0.997941
188,0.987426
189,0.612141
190,0.992576
191,0.999574
192,0.996435
193,0.997733
194,0.995484
195,0.968959
196,0.997501
197,0.991615
198,0.976940
199,0.993892
200,0.882896
201,0.996195
202,0.988813
203,0.957632
204,0.993526
205,0.999002
206,0.989425
207,0.995357
208,0.987425
209,0.664448
210,0.770496
211,0.957162
212,0.991918
213,0.998395
214,0.982568
215,0.992071
216,0.911188
217,0.952662
218,0.995780
219,0.996101
220,0.977512
221,0.441355
222,0.999416
223,0.999485
224,0.992550
225,0.959328
226,0.786135
227,0.972738
228,0.990666
229,0.998775
230,0.995467
231,0.983408
232,0.958789
233,0.967446
234,0.117834
235,0.907640
236,0.965186
237,0.969639
238,0.984320
239,0.913209
240,0.998469
241,0.983165
242,0.752620
243,0.481518
244,0.991950
245,0.986964
246,0.999285
247,0.983634
248,0.984317
249,0.988338
250,0.997718
251,0.996615
252,0.964050
253,0.998617
254,0.999140
255,0.999107
256,0.976880
257,0.985737
258,0.943078
259,0.989635
260,0.998723
261,0.993225
262,0.969373
263,0.996018
264,0.998323
265,0.998002
266,0.991430
267,0.981565
268,0.997591
269,0.985071
270,0.995617
271,0.995536
272,0.972988
273,0.995430
274,0.613183
275,0.998328
276,0.938985
277,0.997270
278,0.999085
279,0.986970
280,0.946086
281,0.999629
282,0.998999
283,0.957474
284,0.952239
285,0.997753
286,0.992091
287,0.999564
288,0.996800
289,0.994068
290,0.995455
291,0.651758
292,0.912234
293,0.992193
294,0.986557
295,0.993482
296,0.439268
297,0.691027
298,0.979889
299,0.883650
300,0.996901
301,0.832661
302,0.997342
303,0.564678
304,0.906015
305,0.994191
306,0.995200
307,0.981848
308,0.999554
309,0.938288
310,0.982884
311,0.998689
312,0.996716
313,0.995003
314,0.998827
315,0.999283
316,0.996231
317,0.963423
318,0.996710
319,0.740108
320,0.998819
321,0.996389
322,0.414421
323,0.999689
324,0.992364
325,0.964607
326,0.922467
327,0.995760
328,0.998905
329,0.997572
330,0.994804
331,0.995787
332,0.971148
333,0.993664
334,0.934190
335,0.993527
336,0.982430
337,0.988659
338,0.993748
339,0.990876
340,0.994543
341,0.998837
342,0.989614
343,0.981348
344,0.999494
345,0.999091
346,0.997356
347,0.989125
348,0.984348
349,0.998008
350,0.958404
351,0.974509
352,0.999689
353,0.985051
354,0.884709
355,0.983967
356,0.996942
357,0.994055
358,0.996113
359,0.973296
360,0.545899
361,0.960010
362,0.983881
363,0.975720
364,0.917306
365,0.999439
366,0.999425
367,0.993779
368,0.999006
369,0.992227
370,0.997593
371,0.986526
372,0.995147
373,0.797388
374,0.279851
375,0.955618
376,0.993167
377,0.688727
378,0.991695
379,0.997760
380,0.910848
381,0.859238
382,0.984934
383,0.999698
384,0.991816
385,0.991352
386,0.984448
387,0.848840
388,0.981754
389,0.992762
390,0.993764
391,0.913926
392,0.997619
393,0.948473
394,0.991605
395,0.977252
396,0.991779
397,0.999659
398,0.983960
399,0.996297
400,0.996049
401,0.996808
402,0.993372
403,0.983766
404,0.973853
405,0.998765
406,0.989776
407,0.930104
408,0.994949
409,0.970017
410,0.997960
411,0.997914
412,0.961071
413,0.863593
414,0.996651
415,0.988803
416,0.938041
417,0.989506
418,0.993730
419,0.993967
420,0.992648
421,0.998946
422,0.990557
423,0.958763
424,0.844916
425,0.995560
426,0.973986
427,0.997215
428,0.992948
429,0.961305
430,0.999298
431,0.987605
432,0.990190
433,0.986927
434,0.983485
435,0.993493
436,0.999569
437,0.996216
438,0.179134
439,0.977136
440,0.456535
441,0.992808
442,0.999825
443,0.996391
444,0.995283
445,0.956589
446,0.997959
447,0.891505
448,0.996041
449,0.988592
450,0.983045
451,0.929622
452,0.990559
453,0.997990
454,0.953586
455,0.992983
456,0.993235
457,0.998691
458,0.997814
459,0.996905
460,0.723876
461,0.929910
462,0.998952
463,0.993984
464,0.993748
465,0.983343
466,0.997924
467,0.376821
468,0.982079
469,0.991661
470,0.992376
471,0.993953
472,0.994365
473,0.998264
474,0.995362
475,0.970862
476,0.992306
477,0.996783
478,0.993125
479,0.996862
480,0.998082
481,0.998793
482,0.982836
483,0.999167
484,0.979106
485,0.980169
486,0.929002
487,0.983944
488,0.993733
489,0.994518
490,0.981869
491,0.995041
492,0.987292
493,0.977451
494,0.993887
495,0.992800
496,0.993253
497,0.998241
498,0.998384
499,0.998537
500,0.977638
501,0.986188
502,0.943606
503,0.980949
504,0.985300
505,0.980346
506,0.998268
507,0.996827
508,0.976725
509,0.986074
510,0.411092
511,0.974121
512,0.988621
513,0.997364
514,0.722314
515,0.990426
516,0.990523
517,0.998878
518,0.929155
519,0.964590
520,0.948128
521,0.998283
522,0.996029
523,0.993619
524,0.256814
525,0.534855
526,0.465582
527,0.995068
528,0.991650
529,0.979467
530,0.998950
531,0.931371
532,0.984501
533,0.992931
534,0.974808
535,0.991575
536,0.987838
537,0.999445
538,0.988854
539,0.987873
540,0.945972
541,0.997009
542,0.977614
543,0.922848
544,0.968510
545,0.988424
546,0.994064
547,0.889307
548,0.706631
549,0.915851
550,0.884147
551,0.970362
552,0.951656
553,0.995914
554,0.918841
555,0.996873
556,0.987158
557,0.989487
558,0.968721
559,0.978035
560,0.981901
561,0.996481
562,0.992614
563,0.995979
564,0.752489
565,0.999461
566,0.972736
567,0.958649
568,0.867793
569,0.990786
570,0.981512
571,0.414709
572,0.994868
573,0.956275
574,0.428333
575,0.999443
576,0.994928
577,0.991675
578,0.993236
579,0.834646
580,0.978990
581,0.990579
582,0.990322
583,0.997545
584,0.896718
585,0.995427
586,0.989726
587,0.935145
588,0.992711
589,0.996936
590,0.939678
591,0.979486
592,0.999184
593,0.966436
594,0.988407
595,0.998458
596,0.997871
597,0.994481
598,0.871752
599,0.974778
600,0.973037
601,0.989194
602,0.969108
603,0.999759
604,0.994840
605,0.979706
606,0.995977
607,0.991367
608,0.997045
609,0.979934
610,0.822247
611,0.991872
612,0.987785
613,0.995561
614,0.752704
615,0.999341
616,0.537858
617,0.951604
618,0.996295
619,0.987636
620,0.998751
621,0.997699
622,0.969085
623,0.987834
624,0.920304
625,0.905706
626,0.995320
627,0.993772
628,0.954344
629,0.996305
630,0.998003
631,0.997248
632,0.968969
633,0.998041
634,0.998013
635,0.940779
636,0.994066
637,0.979786
638,0.992059
639,0.968327
640,0.987920
641,0.997914
642,0.973483
643,0.980007
644,0.995736
645,0.998502
646,0.761381
647,0.996821
648,0.954925
649,0.997882
650,0.892232
651,0.993004
652,0.998200
653,0.509908
654,0.980582
655,0.940316
656,0.995428
657,0.990535
658,0.995729
659,0.995850
660,0.966567
661,0.991592
662,0.995424
663,0.995492
664,0.994501
665,0.948877
666,0.618673
667,0.962272
668,0.979289
669,0.960481
670,0.491054
671,0.980347
672,0.979362
673,0.694239
674,0.978361
675,0.972345
676,0.992556
677,0.966859
678,0.997419
679,0.996553
680,0.990223
681,0.534138
682,0.982090
683,0.998065
684,0.991518
685,0.963171
686,0.976642
687,0.991056
688,0.996328
689,0.996925
690,0.998538
691,0.999377
692,0.997851
693,0.936196
694,0.996781
695,0.984419
696,0.718203
697,0.999292
698,0.996514
699,0.997142
700,0.990623
701,0.980131
702,0.995249
703,0.973610
704,0.967326
705,0.907785
706,0.820205
707,0.921329
708,0.998157
709,0.980628
710,0.993925
711,0.900597
712,0.944202
713,0.992855
714,0.998677
715,0.988139
716,0.865841
717,0.994111
718,0.960110
719,0.993690
720,0.993840
721,0.978929
722,0.998154
723,0.985567
724,0.984523
725,0.987369
726,0.963133
727,0.997785
728,0.999128
729,0.910420
730,0.953517
731,0.961208
732,0.999736
733,0.999710
734,0.999977
735,0.989333
736,0.782469
737,0.993564
738,0.996324
739,0.981769
740,0.997607
741,0.992985
742,0.995814
743,0.992503
744,0.998652
745,0.995271
746,0.993989
747,0.986405
748,0.996925
749,0.991404
750,0.999939
751,0.998502
752,0.988130
753,0.969800
754,0.980494
755,0.991987
756,0.717113
757,0.999343
758,0.987017
759,0.940777
760,0.952744
761,0.959534
762,0.962130
763,0.959838
764,0.966537
765,0.993676
766,0.982990
767,0.990802
768,0.995308
769,0.984449
770,0.985834
771,0.998964
772,0.991856
773,0.997945
774,0.994797
775,0.977802
776,0.857713
777,0.966789
778,0.990752
779,0.996025
780,0.515434
781,0.821848
782,0.987422
783,0.997705
784,0.979723
785,0.701790
786,0.975437
787,0.996207
788,0.974649
789,0.982470
790,0.944201
791,0.988564
792,0.994344
793,0.926924
794,0.984859
795,0.997115
796,0.947079
797,0.998723
798,0.997954
799,0.984327
800,0.999435
801,0.997578
802,0.990496
803,0.859389
804,0.996186
805,0.987591
806,0.997774
807,0.961804
808,0.926711
809,0.997861
810,0.995985
811,0.990511
812,0.414276
813,0.998367
814,0.977091
815,0.877961
816,0.999483
817,0.999320
818,0.997178
819,0.993308
820,0.960607
821,0.979502
822,0.997337
823,0.998376
824,0.995096
825,0.995316
826,0.951471
827,0.999251
828,0.992980
829,0.995291
830,0.993950
831,0.826786
832,0.999939
833,0.998182
834,0.995155
835,0.999553
836,0.960443
837,0.994341
838,0.998213
839,0.928758
840,0.976629
841,0.952935
842,0.998002
843,0.996564
844,0.997530
845,0.996641
846,0.992532
847,0.997774
848,0.997889
849,0.953805
850,0.543925
851,0.997469
852,0.991094
853,0.995867
854,0.198215
855,0.985674
856,0.994692
857,0.971489
858,0.994460
859,0.985975
860,0.999504
861,0.992933
862,0.976638
863,0.996970
864,0.940841
865,0.119249
866,0.970723
867,0.992731
868,0.982963
869,0.981807
870,0.997473
871,0.989552
872,0.981236
873,0.996193
874,0.852697
875,0.995674
876,0.983883
877,0.987624
878,0.985035
879,0.993292
880,0.986732
881,0.963369
882,0.996170
883,0.997489
884,0.964055
885,0.980520
886,0.999285
887,0.871271
888,0.995249
889,0.984401
890,0.999690
891,0.994596
892,0.965136
893,0.863470
894,0.997984
895,0.995366
896,0.987294
897,0.857973
898,0.969196
899,0.850775
900,0.996797
901,0.984994
902,0.992233
903,0.991602
904,0.993959
905,0.999458
906,0.998860
907,0.999782
908,0.999660
909,0.957653
910,0.954890
911,0.923023
912,0.993390
913,0.999142
914,0.998628
915,0.983237
916,0.961820
917,0.985455
918,0.989366
919,0.997091
920,0.993805
921,0.978448
922,0.984481
923,0.888417
924,0.975375
925,0.877127
926,0.995523
927,0.996002
928,0.998709
929,0.996957
930,0.999830
931,0.997494
932,0.994033
933,0.993424
934,0.994294
935,0.966496
936,0.949547
937,0.994406
938,0.993503
939,0.989874
940,0.916615
941,0.990318
942,0.998138
943,0.781329
944,0.994186
945,0.910948
946,0.986390
947,0.989071
948,0.933858
949,0.998042
950,0.990806
951,0.998755
952,0.774141
953,0.980909
954,0.990182
955,0.903893
956,0.307556
957,0.988911
958,0.978269
959,0.571444
960,0.958560
961,0.982746
962,0.994366
963,0.987879
964,0.966434
965,0.977190
966,0.921272
967,0.991836
968,0.942535
969,0.951903
970,0.954066
971,0.995974
972,0.999086
973,0.997575
974,0.993713
975,0.982557
976,0.979141
977,0.997397
978,0.923368
979,0.927512
980,0.739839
981,0.998230
982,0.991385
983,0.999791
984,0.149501
985,0.997198
986,0.983626
987,0.999692
988,0.986136
989,0.997297
990,0.910219
991,0.604506
992,0.973163
993,0.999983
994,0.996871
995,0.992291
996,0.997097
997,0.647168
998,0.990491
999,0.986787
1000,0.998677
1001,0.997197
1002,0.921876
1003,0.939188
1004,0.985615
1005,0.964260
1006,0.954367
1007,0.991383
1008,0.996161
1009,0.999317
1010,0.992942
1011,0.998433
1012,0.920846
